English_sentences,Balochi_sentences
Just leave Tom alone.,Bass Thámá eóká yalah kant.
This rug is handmade.,É joll dastán gón gwaptag.
They grew frustrated.,Á náomét butant.
The child is healthy.,Chokk dreng ent.
The kids are healthy.,Gwandhu dreng ant.
The child is in pain.,Chokk taklip ent.
I am at the hospital.,Man nádráhjáhá án.
This is a small fish.,É kasánén máhigé.
Is it raining at sea?,Zerá hawr ent?
He does not eat fish.,Á máhig na-wart.
Small fish live here.,Kasánén máhig edá zend o nend kanant.
This fish has scales.,É máhigá kochal per ent.
Tom is a hard worker.,Thám trondkáré.
The water is flowing.,Áp rawagá ent.
This is a small seed.,É kasánén tómé.
Bring the seeds here.,Tómán edá byár.
Don't drop the seeds.,Tómán maréch.
The wheat is growing.,Gandim rodagá ent.
Tom is cutting wheat.,Thám gandim ronagá ent.
Where is the tractor?,Threkthar kojá ent?
He bought a new plow.,Áíá nókén nangáré zort.
We harvest the crops.,Má keshárán ronén.
Tom is selling crops.,Thám keshárán bahá kanagá ent.
We earn from farming.,Má cha zemíndáríá kamái kanén.
The plants grew fast.,Keshár tézíá rostant.
Where is your office?,Tai kárges kojá ent?
She teaches children.,Á zahgán wánénit.
He is a good builder.,A sharrén addh kanóké.
I need an accountant.,Maná hesábdáré pakár ent.
We need good service.,Márá sharrén hezmat pakár ent.
Deliver this package.,É pékéjá rasén.
Where is my delivery?,Mani dheliwari kojá ent?
The soldier is tired.,Sepáhig dam bortag.
The border is closed.,Simsar band ent.
The tanks are moving.,Thaynk jonzagá ant.
Ships are in the sea.,Ápi goráb zerá ant.
The battle was short.,Jang gwandh at.
Our strategy is good.,May kárchál sharr ent.
The long war is over.,Drajgén jang halás but.
You shameless person!,Taw bélajjén mardomé!
You heartless person!,Taw bédelén mardom!
Stop your bad tongue!,Tai badén zobáná bedár!
Tomorrow is the game.,Bándá layb ent.
Seventy two fans run.,Haptád o do shaydai tachant.
He killed his sister.,Áiá wati gohár kosht.
Stop honour killings.,Gayratay námá kóshá band bekan.
The case is in court.,Jédhah adálatá ent.
Human life is sacred.,Ensáni zend sharap dárit.
He was an accomplice.,Á hamkópagé at.
She is gone too soon.,Á báz zutt shot.
We must prevent this.,Márá eshiay ger o dár kanagi ent.
"Above all, be patient.",Masterén chizz esh ent ke sabr kan.
"All right, I'll do it.","Sharr ent, man kanány."
"All right, I'll do it.","Sharr ent, many kanán."
All we need is a plan.,Márá bass shawrbandié pakár ent.
All we need is a plan.,Márá bass shawré pakár ent.
Always tell the truth.,Modám rást begosh.
Any child can do that.,Eshiá wa chokké kot kant.
Are these books yours?,É ketáb taig ant?
Are these your things?,É tai chizz ant?
Are you all right now?,Ni taw sharr ay?
Are you coming or not?,Taw pédákay yá na?
Are you free tomorrow?,Taw bándá payyakay?
Are you free tomorrow?,Taw bándá payyekay?
Are you going to sing?,Taw sawt janay?
Are you going with us?,Taw gón má rawagá ay?
Are you talking to me?,Taw gón man gappá ay?
Believe what you like.,Harchi tará dóst bit hamáiá bemann.
But Dad won't like it.,Bale petá é dóst nabit.
Can I borrow your car?,Man tai gádhiá badal zort kanán?
Can I borrow your pen?,Man tai kalamá badal zort kanán?
Can I use your pencil?,Man tai penselá kármarz kot kanán?
Can you keep a secret?,Taw rázé dásht kanay?
Can you speak English?,Taw engréziá gapp jat kanay?
Come here and help me.,Byá edá o maná madat kan.
Come home immediately.,Damáná byá lógá.
Could you tackle this?,Taw eshiá sambálet kanay?
Count from one to ten.,Yakká beger dán dahá hesáb kan.
Did it snow yesterday?,Zi barpbári but?
Did you buy this book?,Taw é ketáb bahá zort?
Did you find a doctor?,Taw dáktaré dar gétk?
Did you say something?,Taw habaré kot?
Do elephants eat meat?,Pill gósht warant?
Do you have a receipt?,Tai kerrá rasid hast?
Do you have a website?,Tará tanjáhé hast?
Do you know my father?,Taw mani petá zánay?
Do you know who he is?,Taw zánay á kay ent?
Do you like it or not?,Tará é dóst bit yá na?
Do you own a computer?,Tará kampyuthar hast?
Do you really love me?,Taw hakk o del maná dóst dáray?
Do you really love me?,Man tará rásti dóst bán?
Do you still need tea?,Tará angat cháhiták pakár ent?
Do you still need tea?,Taw angat cháhiták lóthay?
Do you understand her?,Taw áiá sarpad bay?
Does she have a piano?,Áiá pyánawé hast?
Does she like oranges?,Áiá mósombi dóst bit?
Does she like oranges?,Áiá mósombi wassh bit?
Does Tom want to come?,Thám áyag lóthit?
Don't forget about us!,Márá béhál makan!
Don't say such things.,Choshén gapp majan.
Don't touch my camera.,Mani kémráyá dast majan.
Don't try to trick us.,Márá répénagay kóshest makan.
Don't try to trick us.,Márá répénagay johd makan.
Don't use this faucet.,É nalá kármarz makan.
Don't waste your time.,Wati wahdá zawál makan.
Don't you play tennis?,Taw ténes nakanay?
Eat whatever you like.,Harchi tará dóst bit bewar.
Everybody is confused.,Harkas shash o panchá kaptag.
Everybody is confused.,Harkas sarbatag ent.
Everybody loves music.,Harkasá zémer dóst bit.
Fat hens lay few eggs.,Pazzórén nekénk kammok hayk dayant.
"Give it to me, please.","Mehrabáni kan, eshiá maná beday."
Give this book to Tom.,É ketábá Thámá beday.
Go back to your house.,Béraw kan wati gesá boraw.
Go back to your seats.,Borawet padá wati sitthán.
Has Tom been indicted?,Thámay sará jorm bandag butag?
Haven't we met before?,Má pésará dochár nakaptagén?
He asked me for money.,Áiá maná pa zarrá gosht.
He broke into a house.,Á geséá potert.
He broke into a house.,Áiá gesé jat.
He came several times.,Á chandé randá atk.
He drives his own car.,Á wati jenday gádhiá táchit.
He drives his own car.,Á wati jenday gádhiá halláénit.
He has a lot of money.,Áiá mazanén zarré hast.
He is a famous artist.,Á námdárén ezmkáré.
He is always laughing.,Á modám kandagá ent.
He is good at driving.,Á gádhiay táchagá zabr ent.
He is good at driving.,Á gádhiay halláénagá zabr ent.
He is not a tough guy.,Á trondén mardé naent.
"He is poor, but happy.",Á wár ent bale gal ent.
He is washing his car.,Á wati gádhiá shódagá ent.
He kept a seat for me.,Áiá pa man sitthé dásht.
He knows us very well.,Á márá sharriá zánt.
He left the door open.,Áiá darwázag pachiá esht.
He lived a short life.,Áiay omr gwandh at.
He must be over sixty.,Á allamá shastá borz bit.
He told me everything.,Áiá maná harchi gosht gón.
He was her son in law.,Á áiay zámát at.
He works in a factory.,Á kárjáhéá kárá ent.
He's my older brother.,Á mani mastarén brát ent.
He's never told a lie.,Áiá beh dróg nabastag.
Helicopters are noisy.,Bálgard shór kanant.
Help me. I can't swim.,Maná komakk kan. Man ózhnág kot nakanán.
Help me. I can't swim.,Maná madat kan. Man ózhnág kot nakanán.
Her face turned white.,Áiay dém espét tarr et.
Here's to your health!,Nóshe ján pa tai dráhjániá!
His plan is dangerous!,Áiay shawr hatarnák ent!
"Hold the line, please.","Mehrabáni kan, pawná pach bedár."
How can I change that?,Man eshiá chón matth kot kanán?
How can you know that?,Taw eshiá chón zánt kanay?
How could they forget?,Á chón shamosht kanant?
How could they forget?,Á chón béhál bant?
How did you come here?,Taw edá chón atkay?
How did you cook this?,Taw é chón grást?
How did you know that?,Taw é chón zánt?
How long did you stay?,Taw chinchok dérá jalletay?
How long does it take?,É chinchok dér jant?
How should I eat this?,Maná é chón warag lóthit?
How was your vacation?,Tai mókal chón at?
I admire your courage.,Man tai hemmatá sádhá án.
I am an honest person.,Man imándárén mardomé án.
I am pressed for time.,Mani kerrá wahday kammi ent.
I am studying Persian.,Man pársi wánagá án.
I bought a few stamps.,Man chandé theketth gept.
I bought a used phone.,Man kármarz butagén pawné bahá zort.
I came here last nigh.,Man edá dushi atkán.
I came here yesterday.,Man edá zi atkán.
I can do it by myself.,Man eshiá wat kot kanán.
I can hardly hear you.,Man pa moshkolé tai gappá eshkonán.
I can't find my watch.,Man wati gadhiálá nagendán.
I can't take the heat.,Gón man garm saggag nabit.
I carried three books.,Man say ketáb zort gón.
I did that by mistake.,Man pa radi chó kot.
I dislike being alone.,Maná éoki wassh nabit.
I don't drink alcohol.,Man trondáp nawarán.
I don't know anything.,Man hecch nazánán.
I don't know his name.,Man áiay námá nazánán.
I don't understand it.,Man eshiá sarpad nabayán.
I don't understand it.,Man eshiá sarpad nabán.
I don't want to sleep.,Man wapsag nalóthán.
I doubt Tom will come.,Maná shakk ent Thám nayt.
I forgot to buy bread.,Man naganay geragá béhál bitán.
I forgot to buy sugar.,Man shakaray geragá shamoshtán.
I forgot to buy sugar.,Man shakaray geragá béhál bitán.
I found that annoying.,Man dist ke delsyáhié.
I gave Tom everything.,Man Thám harchizz dát.
I go to school by bus.,Man eskólá basay sará rawán.
I got wet to the skin.,Man sakk missetán.
I had my money stolen.,Mani zarr dozzag bitant.
I have a good job now.,Ni maná sharrén káré rasetag.
I have a tourist visa.,Maná sayláni wizáé hast.
I have an appointment.,Mani hókéné hast.
I have no money on me.,Mani kerrá zarr nést.
I have some time left.,Mani kerrá kammok wahd pasht kaptag.
I have to go to sleep.,Maná rawag o wapsagi ent.
I just saw an opossum.,Man anni apósamé dist.
I just saw an opossum.,Man hamésh ent anni apósamé dist.
I know how to survive.,Man zánán ke chetawr berakkán.
I know it was serious.,"Man zánán, é sanginén gappé at."
I know Tom loves Mary.,Man zánán Thámá Maryam dóst bit.
I know where you live.,Man zánán taw kojá jahmenend ay.
I lied to the teacher.,Man gón ostádá dróg bast.
I like helping others.,Maná degeráni komakk kanag wassh bit.
I like helping others.,Maná degeráni madat kanag wassh bit.
I like playing sports.,Maná layb o gwázi wassh bit.
I met her an hour ago.,Man kaláké pésar gón áiá dochár kaptán.
I must help my mother.,Maná wati mát allamá komakk kanag lóthit.
I must help my mother.,Maná allamá wati mátay madat kanag lóthit.
I need to concentrate.,Maná delgósh yajjáh kanag lóthit.
I need to get a stamp.,Maná dhák theketthé ziragi ent.
I need to get a stamp.,Maná dhák theketthé zirag lóthit.
I never liked biology.,Maná zendánk beh dóst nabut.
I no longer live here.,Ni man edá jahmenend nayán.
"I owe her 100,000 yen.","Man 100,000 yaná áiay wámdár án."
I prefer fish to meat.,Maná cha góshtá máhig pasondter ent.
I realize I messed up.,Man zánán man kár haráb kotant.
I remember seeing her.,Maná yát ent man á dist.
I respect my teachers.,Man wati ostádáni ezzatá kanán.
I slept on the ground.,Man boná waptán.
I still feel terrible.,Man angat sakk nawassh án.
I think he won't come.,Mani hayálá á nayt.
I think Tom knows why.,Mani hayálá Thám zánt ke parchá.
I thought it was true.,Man gosht zánán é rásté.
"I tried, but I failed.",Man kóshest kot balay bésób bitán.
"I tried, but I failed.",Man johd kot balay bésób bitán.
I usually play tennis.,Man géshtar ténes kanán.
I want a book to read.,Man pa wánagá ketábé lóthán.
I want a new computer.,Man nókén kampyutharé lóthán.
I want to be a doctor.,Man lóthán ke dáktaré bebayán.
I want to be a doctor.,Man lóthán ke dáktaré bebán.
I want to buy a house.,Man lóthán ke gesé bahá bezirán.
I want to buy a house.,Man lóthán ke gesé begerán.
I want to go with you.,Man lóthán ke gón taw borawán.
I want to visit Korea.,Man lóthán ke Kóriáyá chakkaré bejanán.
I want you to read it.,Man lóthán ke taw eshiá bewánay.
I wanted to read them.,Man lóthet ke áyán bewánán.
I was happy yesterday.,Zi man wassh atán.
I went home and cried.,Man lógá shotán o grét.
I went to Europe once.,Man yakk randé Yuropá shotán.
I went to Europe once.,Man yakk randé Yuropá shotán
I will make her happy.,Man áiá wassh kanán.
I will never hurt you.,Man tará beh delranj nakanán.
I wish to be a doctor.,Mani wáhag ent ke dáktaré bebayán.
I wish to be a doctor.,Mani wáhag ent ke dáktaré bebán.
I would rather not go.,Man lóthán ke marawán.
I'd never hit a woman.,Man beh zálból najanán.
I'll be here all week.,Man téwagén haptagá hamedá bayán.
I'll be here all week.,Man téwagén haptagá hamedá bán.
I'll get some glasses.,Man chashmaké gerán.
I'll love you forever.,Man mojjati tará dóst dárán.
I'll love you forever.,Man tará mojjati dóst dárán.
I'll meet you outside.,Man gón taw dhanná dochár kapán.
I'll miss you so much.,Man pa taw sakk zahirig bayán.
I'll miss you so much.,Man pa taw sakk zahirwár bán.
I'll never betray you.,Man tará beh nadróhán.
I'll never betray you.,Man tará beh dagá nadayán.
I'll never forget you.,Man tará beh béhál nabayán.
I'll never forget you.,Man tará beh béhál nabán.
I'll never let you go.,Man tará beh rawagá naylán.
I'll see you tomorrow.,Man tará bándá gendán.
I'm charging my phone.,Man wati pawná chárj dayagá án.
"I'm from Tokyo, Japan.","Man thókyaw, Jápánayg án."
I'm giving up smoking.,Man segréthá yalah kanagá án.
I'm going to the bank.,Man baynká rawagá án.
I'm here as a tourist.,Man edá saylánié hesábá án.
I'm not good at lying.,Man drógay bandagá zabr nayán.
I'm not happy with it.,Man gón eshiá wassh nayán.
I'm reading this book.,Man é ketábá wánagá án.
I'm reading your book.,Man tai ketábá wánagá án.
I'm really not hungry.,Man rásti shodig nayán.
I'm scared ofdentists.,Maná dantánay dáktaráni kerrá torsit.
I'm sure I'll be fine.,Man deljamán ke man sharr bayán.
I'm sure I'll be fine.,Man deljamán ke man baróbar bán.
I'm sure Tom is bored.,Man deljamán ke Thám bór ent.
I'm sure you're right.,Man deljamán ke taw rástay.
I'm sure you're wrong.,Man deljamán ke taw rad ay.
I'm telling the truth.,Man rást goshagá án.
I'm tired of studying.,Man wánagá dam bortag.
I've always loved you.,Man har wahdá tará dóst dáshtag.
I've been here before.,Man edá péshá ón butagán.
I've been here before.,Man edá péshá ham butagán.
I've climbed Mt. Fuji.,Man puji kóhá sar kaptagán.
I've come to save you.,Man pa tai rakkénagá atkagán.
I've made my decision.,Man wati paysalah kotag.
Is it really all over?,É hakk o del chath halás ent?
Is it really all over?,É rásti chath halás ent?
Is somebody out there?,Dhanná kasé hast?
Is that even possible?,Chó kadi bit kant?
Is that too expensive?,É sakk grán ent?
Is there life on Mars?,Bahrámay sará zendagi hast?
Is this a gift for me?,É pa man sawgáté?
Is this your umbrella?,É tai chatr ent?
Is your dog all right?,Tai kochekk jódh ent?
Is your watch correct?,Tai gadhiál rást ent?
It feels like a dream.,É wábéay wadhá ent.
It is a difficult job.,É moshkolén káré.
It isn't here anymore.,É ni edá naent.
It tastes really good.,Eshiay tám rásti wassh ent.
It was cold yesterday.,Zi sárt at.
It's great to see you.,Wasshén gappé ke man tará dist.
It's great to see you.,Sakk sharr ent ke man tará dist.
"It's Monday, you know.","Taw zánay, marchi dóShambeh ent."
It's useless to argue.,Ják janag békár ent.
It's very nice of you.,É tai wati sharri ent.
It's yours. (singular),É taig ent.
"Just a moment, please.","Mehrabáni kan, bass damáné sabr kan."
Just breathe normally.,Bass anchó ginn bekassh.
Leave my camera alone.,Mani kémráyá bell.
"Let's forget this, OK?","Byá eshiá shamoshén, sharr?"
"Let's forget this, OK?","Byá eshiá béhál kanén, sharr?"
Let's get ready to go.,Byá rawagay tyáriá kanén.
Let's get ready to go.,Byá rawagay tayáriá kanén.
Let's go to my office.,Byá mani kárgesá rawén.
Let's go to the beach.,Byá tyábá rawén.
Let's help each other.,Byá yakké domiá madat kanén.
Let's just be friends.,Byá bass sangat bayén.
Let's just be friends.,Byá bass sangat bén.
Let's meet again soon.,Byá padá zitt dochár kapén.
Let's play volleyball.,Byá wálibál kanén.
Let's turn off the TV.,Byá ThWá band kanén.
"Like father, like son.","Anchó p et, anchó bacch."
Listen to your father.,Wati petay gappá gósh dár.
Listen to your mother.,Wati mátay gappá gósh dár.
Make yourself at home.,Hecch madháh makan.
May I go to the river?,Man kawrá shot kanán?
Mom is older than Dad.,Mát cha petá master ent.
"Mom, Tom's hitting me!","Ammán, Thám maná janagá ent!"
My dad is very strict.,Mani pet sakk trond ent.
My father is a doctor.,Mani pet dáktaré.
My father loves pizza.,Mani petá pizzá wassh bit.
My friend has arrived.,Mani sangat atkag.
My life was in danger.,Mani zend hatará at.
My mother bakes cakes.,Mani mát kék pachit.
My room is very small.,Mani kóthi sakk kasán ent.
My shift ends at five.,Mani shepth panchá halás bit.
My spouse is a doctor.,Mani waserk dháktaré.
No one encouraged her.,Yakkéá ón á delbaddhi nadát.
No one encouraged her.,Yakkéá ham á delbaddhi nadát.
No one knows his name.,Yakké ón áiay námá nazánt.
No one knows his name.,Yakké ham áiay námá nazánt.
No one speaks with me.,Yakké ón gón man gapp najant.
No one speaks with me.,Yakké ham gón man gapp najant.
No one's stopping you.,Tará kass dáragá naent.
Nobody encouraged her.,Kassá á delbaddhi nadát.
Nobody here eats meat.,Kass edá gósht nawárt.
Nobody listened to me.,Kassá mani gapp gósh nadásht.
Nobody listened to me.,Kassá mani gapp gósh nadát.
Nobody understands me.,Kass maná sarpad nabit.
Not all birds can fly.,Drostén morg bál kot nakanant.
Nothing can abash him.,Áiá hecchay parwáh nést.
Our water pipes burst.,May ápay payp trakk etant.
Playing tennis is fun.,Ténesay layb kanag wassh ent.
Please close the door.,Mehrabáni kan darwázagá band kan.
Please copy this page.,Mehrabáni kan é tákdémá nakl kan.
Please deal the cards.,Mehrabáni kan pattá án pins.
Please iron the shirt.,Mehrabáni kan pashká esteri day.
Please keep it secret.,Mehrabáni kan eshiá ráz bedár.
Please leave me alone.,Mehrabáni kan maná éokiá bell.
Please repair the car.,Mehrabáni kan gádhiá addh kan.
Please think about it.,Mehrabáni kan é bábatá hayál bekan.
Please think about it.,Mehrabáni kan é bárawá hayál bekan.
Please throw the ball.,Mehrabáni kan bólá chagal day.
Put your weapons down.,Wati seláhán dawr day.
Raise your right hand.,Wati rástén dastá chest kan.
Rats carry the plague.,Moshk táhun sheng kanant.
Remember your promise.,Wati wádahá yát bedár.
She answered in tears.,Áiá gón arsigén chammé passaw dát.
She decided to resign.,Áiá daskasshiay paysalah kot.
She gave me a present.,Áiá maná sawgáté dát.
She has a few friends.,Áiá kammok dóst hast.
She ironed his shirts.,Áiá áiay pashk esteri dátant.
She is a noted singer.,Á námién goshendahé.
She is about to leave.,Á rawagi ent.
She is as tall as you.,Á borziá tará bit.
She is very beautiful.,Á sakk dhawldár ent.
She lives in New York.,Á Neu Yárká jahmenend ent.
"She loves Tom, not me.","Áiá Thám dóst bit, maná dósty nabit."
She refused his offer.,Áiá áiay péshkassh nazort.
She screamed for help.,Áiá pa komakká peryát kot.
She screamed for help.,Áiá pa madatá peryát kot.
She took her own life.,Áiá wati sáh gept.
She turned eighty-one.,Áiá hashtád o yakk sál but.
She's eating an apple.,Á srópé waragá ent.
She's in the restroom.,Á árámjáhá ent.
She's my older sister.,Á mani masterén gohár ent.
Shouldn't you go home?,Tará lógá rawag nalóthit?
Show me another watch.,Maná dege gadhiálé pesh dár.
Sit wherever you like.,"Hamá jágah tará dóst bit, benend."
Spring will come soon.,Bahárgáh zitt kayt.
Still waters run deep.,Bébramshén áp johlánkiá tachit.
Take care of the kids.,Chokkáni hayáldáriá bekan.
Take care of yourself.,Wati hayáldáriá bekan.
Take off your clothes.,Wati pocchán kassh.
Take off your clothes.,Wati pócchán kassh.
Tell me what happened.,Maná begosh gón ché but.
Tell Tom I won't sing.,Thámá begosh man sawt najanán.
Thanks for the advice.,Tai sójay menn at.
Thanks for the cookie.,Pa kolóchagá mennatwár án.
Thanks for the effort.,Pa johdá mennatwár án.
"That's awesome, right?","É zabardast ent, genday?"
That's what I thought.,Man hamé hayál kot.
That's why i did this.,Paméshká man chosh kot.
That's why I like you.,Pameshká taw maná dóstay.
That's why we're here.,Pameshká má edá én.
The brake didn't work.,Berekká kár nakot.
The cat is on the mat.,pesshi tagerday sará ent.
The clock has stopped.,Gadhiál óshtátag.
The dogs kept barking.,Kochekkán ráshán kot.
The faucet is leaking.,Nal lik ent.
The lake is deep here.,Gwarm edá johl ent.
The lake is very deep.,Gwarm sakk johl ent.
The man lost all hope.,Marday drostén omét halás bitant.
The meat has gone bad.,Gósht gahetag.
The meat is expensive.,Gósht grán ent.
The pain was terrible.,Dard sakk grán at.
The pond is very deep.,Kandh sakk johl ent.
The rain is wonderful.,Hawr zabardast ent.
The sun is rising now.,Ni róch dar áyagá ent.
The train has arrived.,Rélgádhi atkag.
The train has arrived.,Rél atkag.
The war ended in 1954.,Jang 1954á halás but.
The water pipes broke.,Ápay payp proshtant.
There are no problems.,Hecch jédhah nést.
There has to be a way.,Ráhé allamá bit.
There's nobody inside.,Tahá kass nést.
These are my brothers.,É mani brát ant.
These books are yours.,É ketáb taig ant.
They are the same age.,Á hamomr ant.
They come from Sweden.,Á cha Swidaná ká ant.
They hated each other.,Áyán gón yakké domigá naprat at.
They have some doubts.,Áyán kammé shakk hast at.
They shared the money.,Áyán zarr bahr kotant.
They shouted for help.,Áyán pa madatá kukkár kot.
They were not invited.,Á dáwat nadátag atantesh.
They were not invited.,Áesh nalóthetag atant.
They're eating apples.,Á sróp waragá ant.
They've already eaten.,Áyán pésará wártag.
This house is not new.,É lóg nók naent.
"This is an apple, too.",É ón srópé.
"This is an apple, too.",É ham srópé.
This is enough for me.,É pa man maksad ent.
This is its short cut.,É eshiay gwandhborr ent.
This is not important.,É arzesht nadárit.
This is what we found.,Márá hamé dast kapt.
This may take a while.,É kammé dér jant.
This tattoo is stupid.,É thithok ahmakié.
Those are my trousers.,Á mani shalwár ant.
Tom achieves his aims.,Thám wati mólán puró kant.
Tom and Mary are dead.,Thám o Maryam mortagant.
Tom can't play tennis.,Thám thénes kot nakant.
Tom crossed the river.,Thám kawrá gwast.
Tom has a poor memory.,Thámay hósh nezór ent.
Tom hasn't apologized.,Thámá pahelli nalóthetag.
Tom is always talking.,Thám modám gappá ent.
Tom is better than us.,Thám azh má gehtar ent.
Tom is coming for you.,Thám pa taw pédák ent.
Tom is coming for you.,Thám pa taw pédág ent.
Tom is not a bachelor.,Thám londhé naent.
Tom is very talkative.,Thám sakkén pittáré.
Tom keeps a black cat.,Thámá syáhén pesshié dáshtag.
Tom knows those rules.,Thám á rahbandán zánt.
Tom left me a message.,Thámá pa man kolahé eshtag.
Tom may say something.,Thám balkén chizzé begoshit.
Tom only drinks water.,Thám bass áp wárt.
Tom refused to listen.,Thámá gósh dáragá enkár kot.
Tom said he knew Mary.,Thámá gosht ke Maryamá zánán.
Tom said he was drunk.,Thámá gosht ke man neshah butagán.
Tom said he was drunk.,Thámá gosht ke nóshetag o neshahán.
Tom said he'd be here.,Thámá gosht ke hamedá bayán.
Tom said he'd be here.,Thámá gosht ke hamedá bán.
Tom twisted his ankle.,Thámá wati páday mocch chér modhént.
Tom was not impressed.,Thámá asar nabut.
Tom was not unmarried.,Thám londh nayat.
Tom watered the roses.,Thámá goláb áp dátant.
War broke out in 1939.,Jang 1939á bená but.
War broke out in 1941.,Jang 1941á bená but.
"Watch your mouth, Tom.","Wati dapay enáná gwar kan, Thám."
Water has no calories.,Ápá kaylari mán nést.
We all desire success.,Má drost sóbmandiay wáhagdárén.
We feel good about it.,Má pareshiá wassh én.
We helped one another.,Má yakké domigay madat kot.
We respect each other.,Má yakké domigay ezzatá kanén.
We should go to sleep.,Márá rawag o wapsag lóthit.
We stood face to face.,Má dém pa dém óshtátén.
We talked for a while.,Má damáné gapp jat.
We took turns driving.,Má bárig bárigá gádhi tátk.
We took turns driving.,Má bárig bárigá gádhi halláént.
We want something new.,Má nókén chizzé lóthén.
We'll just follow you.,Má bass tai randgiriá kanén.
We've seen three wars.,Má say jang distag.
"Well, let's get going!","Jwán, byá ni rawén!"
Were you there before?,Taw pésará ódá butagay?
What a beautiful baby!,Chónén dhawldárén nonnoké!
What are you watching?,Taw ché cháragá ay?
What did you do today?,Taw marchi ché kot?
What do you think now?,Taw ni ché hayál kanay?
What else do you want?,Taw dege ché lóthay?
What is going on here?,Edá ché bayagá ent?
What time did you eat?,Taw ché wahdá warag wárt?
What time did you eat?,Taw che wahdá warag wárt?
What's going on there?,Ódá ché bayagá ent?
What's happening here?,Edá ché bayagá ent?
When did you go there?,Taw ódá kadi shotay?
When do I get my turn?,Mani bárig kadi kayt?
When is your birthday?,Tai butenróch kadig ent?
When is your birthday?,Tai butan róch kadig ent?
When will they arrive?,Á kadi ká ant o sar bant?
When will they arrive?,Á kadi ká ant?
When will you be back?,Taw kadi wátarr bay?
Where are my slippers?,Mani champal koj ant?
Where are your things?,Tai chizz koj ant?
Where did you see Tom?,Taw Thám kojá dist?
Where is the bathroom?,Pasill kojá ent?
Where is the elevator?,Chestár kojá ent?
Where was the mistake?,Radi kojá at?
Where were all of you?,Shomá drost kojá at et?
Who am I talking with?,Man gón kayá gappá án?
Who built the snowman?,Barpi bot kayá addh kot?
Who cares about facts?,Kay rástiáni parwáhá kant?
Who cares about facts?,Kayá hakikatáni parwáh ent?
Whose books are these?,É ketáb kaig ant?
Whose shoes are these?,É kai champal ant?
Why are you so amused?,Taw parchá chó washnóday?
Why did you choose me?,Taw parchá maná gechén kot?
Why did you lie to me?,Taw gón man parchá dróg bast?
Why did you marry him?,Taw parchá gón áiá sir kot?
Why don't you like me?,Taw maná parchá pasond nakanay?
Why don't you like me?,Tará man parchá dóst nabán?
Why is she doing this?,Á parchá chó kanagá ent?
Why shop there anyway?,"Padá ham, ódá parchá chizz begerén?"
Why should I stop Tom?,Man Thámá parchá bedárán?
Why should I stop Tom?,Man Thámá parchá maylán?
Will he come tomorrow?,Á bándá kayt?
Will it rain tomorrow?,Bándá hawr bit?
"Yeah. I think so, too.","Haw, mani hayálá ón anchosh ent."
"Yeah. I think so, too.","Haw, mani hayálá ham anchosh ent."
Yoga comes from India.,Yógá cha hendá kayt.
You are not a student.,Taw maktabié nayay.
You are not a student.,Taw tálebé nayay.
You arrived too early.,Taw sakk dérán atkay.
You arrived too early.,Taw sakk mahlaw atkay.
You can rely upon him.,Taw áiay sará barósah kot kanay.
You can't all come in.,Shomá drost tahá atk nakan et.
You can't run from me.,Taw cha man tatk nakanay.
You can't run my life.,Taw mani zenday paysalahán kot nakanay.
You can't run my life.,Taw mani zenday paysalahán kot nakany.
You cannot be serious.,Taw grán o sangin bit nakanay.
You deserve the prize.,Taw enámay hakdár ay.
You didn't understand.,Taw sarpad nabitay.
You have to come back.,Tará padá áyagi ent.
You have to take this.,Tará é ziragi ent.
You must do your best.,Tará wati was kanagi ent.
You must do your best.,Tará was kanagi ent.
You must do your duty.,Tará allamá wati parz purah kanagi ent.
You must see a doctor.,Tará allamá dáktaré gendagi ent.
You need to come home.,Tará lógá áyag lóthit.
You reap what you sow.,Taw hamá chizzá ronay ke keshtag.
You sound tired today.,Taw marchi goshay dam bortag.
You'd better hurry up.,Pa taw sharter ent ke zitt kan.
You'll never be alone.,Taw beh éok nabay.
You're doing it wrong!,Taw eshiá radokái kanagá ay!
You're such a chicken.,Taw balahén bédelé ay.
Your friend left town.,Tai sangatá shahr yalah kot.
Your hair's beautiful.,Tai mid brahdár ant.
Your nose is bleeding.,Tai pónz botkag.
She killed four deers.,Áiá chár ásk kosht.
Tom is the 1st person.,Thám 1li mardom ent.
Tom is the 1st person.,Thám awali mardom ent.
Give me the third one.,Saymiá maná beday.
Tom studies in Turbat.,Thám Torbatá wánagá ent.
Gwadar is my hometown.,Gwáder mani hankén ent.
These are 480 donkeys.,É 480 harant.
These are 481 donkeys.,É 481 harant.
These are 482 donkeys.,É 482 harant.
These are 483 donkeys.,É 483 harant.
These are 484 donkeys.,É 484 harant.
These are 485 donkeys.,É 485 harant.
These are 486 donkeys.,É 486 harant.
These are 487 donkeys.,É 487 harant.
These are 488 donkeys.,É 488 harant.
These are 489 donkeys.,É 489 harant.
These are 490 donkeys.,É 490 harant.
These are 491 donkeys.,É 491 harant.
These are 492 donkeys.,É 492 harant.
These are 493 donkeys.,É 493 harant.
These are 494 donkeys.,É 494 harant.
These are 495 donkeys.,É 495 harant.
These are 496 donkeys.,É 496 harant.
These are 497 donkeys.,É 497 harant.
These are 498 donkeys.,É 498 harant.
These are 499 donkeys.,É 499 harant.
These are 500 donkeys.,É 500 harant.
